type,seats
A320,180
A321,220
A319,140
A332,278
A333,277
A359,314
A388,469
B738,189
B737,148
B739,180
B77W,365
B788,242
B789,296
E190,100
CRJ2,50
CRJ9,90
DH8D,78
A20N,180
A21N,220
A19N,145
A318,107
BCS1,133
BCS3,149
A339,287
A343,295
A346,380
A35K,350
B37M,153
B38M,178
B39M,193
B752,200
B753,243
B762,180
B763,218
B744,416
B748,410
E170,76
E175,88
E195,124
CRJ7,70
CRJ1,50
AT72,70
AT43,48
F100,100
RJ85,85
RJ1H,100
SF34,34
SB20,50
PC12,9
C172,4
C182,4
PA28,4
C56X,9
C25A,8
GLF5,14
CL60,9
H160,8
EC35,6
EC45,8
