icao,name
BAW,British Airways
SAA,South African Airways
CAW,Comair
FLY,Safair (FlySafair)
KLM,KLM Royal Dutch Airlines
DLH,Lufthansa
UAE,Emirates
QTR,Qatar Airways
ETH,Ethiopian Airlines
AFR,Air France
SWR,Swiss International
MSR,EgyptAir
KQA,Kenya Airways
UAL,United Airlines
DAL,Delta Air Lines
AAL,American Airlines
EWG,Eurowings
CFG,Condor
TUI,TUIfly
CLH,Lufthansa CityLine
DLA,Air Dolomiti
SDR,Sundair
RYR,Ryanair
EZY,easyJet
EJU,easyJet Europe
WZZ,Wizz Air
WMT,Wizz Air Malta
VLG,Vueling
IBE,Iberia
TAP,TAP Air Portugal
AUA,Austrian Airlines
SAS,SAS Scandinavian Airlines
NAX,Norwegian Air Shuttle
LOT,LOT Polish Airlines
FIN,Finnair
EIN,Aer Lingus
BEL,Brussels Airlines
CTN,Croatia Airlines
THY,Turkish Airlines
PGT,Pegasus Airlines
BTI,Air Baltic
ICE,Icelandair
